TensorFlow Version: 1.2.1
2017-11-18 02:02:47.374884: E tensorflow/stream_executor/cuda/cuda_driver.cc:406] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2017-11-18 02:02:47.374967: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:158] retrieving CUDA diagnostic information for host: ip-172-31-69-247
2017-11-18 02:02:47.374994: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:165] hostname: ip-172-31-69-247
2017-11-18 02:02:47.375062: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] libcuda reported version is: 384.90.0
2017-11-18 02:02:47.375622: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:369] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  375.66  Mon May  1 15:29:16 PDT 2017
GCC version:  gcc version 5.4.0 20160609 (Ubuntu 5.4.0-6ubuntu1~16.04.4)
"""
2017-11-18 02:02:47.375665: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:193] kernel reported version is: 375.66.0
2017-11-18 02:02:47.375691: E tensorflow/stream_executor/cuda/cuda_diagnostics.cc:303] kernel version 375.66.0 does not match DSO version 384.90.0 -- cannot find working devices in this configuration
main.py:15: UserWarning: No GPU found. Please use a GPU to train your neural network.
  warnings.warn('No GPU found. Please use a GPU to train your neural network.')
Tests Passed
Tests Passed
2017-11-18 02:03:11.555897: W tensorflow/compiler/xla/service/platform_util.cc:61] platform CUDA present but no visible devices found
2017-11-18 02:03:11.555938: I tensorflow/compiler/xla/service/platform_util.cc:58] platform Host present with 16 visible devices
2017-11-18 02:03:11.560857: I tensorflow/compiler/xla/service/service.cc:198] XLA service 0x39169b0 executing computations on platform Host. Devices:
2017-11-18 02:03:11.560876: I tensorflow/compiler/xla/service/service.cc:206]   StreamExecutor device (0): <undefined>, <undefined>
Tests Passed
Tests Passed
Tests Passed
Downloading pre-trained vgg model...
997MB [00:41, 24.0MB/s]
Extracting model...
epoch= 1
loss= 1.40387
loss= 3.07703
loss= 0.686744
loss= 0.664857
loss= 0.609678
loss= 0.540474
loss= 0.535192
loss= 0.474655
loss= 0.423461
loss= 0.434311
epoch= 2
loss= 0.400478
loss= 0.502911
loss= 0.377067
loss= 0.345752
loss= 0.352922
loss= 0.32204
loss= 0.552248
loss= 0.306912
loss= 0.307767
loss= 0.33029
epoch= 3
loss= 0.293047
loss= 0.306244
loss= 0.284151
loss= 0.264062
loss= 0.263829
loss= 0.284398
loss= 0.264294
loss= 0.261514
loss= 0.266111
loss= 0.249629
epoch= 4
loss= 0.311807
loss= 0.303537
loss= 0.291746
loss= 0.204004
loss= 0.226213
loss= 0.23283
loss= 0.22174
loss= 0.219438
loss= 0.223007
loss= 0.220415
epoch= 5
loss= 0.221233
loss= 0.172039
loss= 0.190986
loss= 0.192397
loss= 0.212778
loss= 0.169303
loss= 0.22811
loss= 0.187603
loss= 0.195331
loss= 0.193008
epoch= 6
loss= 0.205517
loss= 0.221259
loss= 0.177673
loss= 0.188165
loss= 0.189673
loss= 0.156751
loss= 0.176906
loss= 0.157479
loss= 0.173353
loss= 0.260286
epoch= 7
loss= 0.187882
loss= 0.204705
loss= 0.205616
loss= 0.169799
loss= 0.18564
loss= 0.189951
loss= 0.16788
loss= 0.156617
loss= 0.162508
loss= 0.149952
epoch= 8
loss= 0.156104
loss= 0.15889
loss= 0.180422
loss= 0.157663
loss= 0.154651
loss= 0.155162
loss= 0.163757
loss= 0.170092
loss= 0.145298
loss= 0.303025
epoch= 9
loss= 0.156923
loss= 0.193806
loss= 0.190912
loss= 0.169489
loss= 0.152524
loss= 0.16677
loss= 0.19198
loss= 0.151148
loss= 0.149229
loss= 0.228759
epoch= 10
loss= 0.179845
loss= 0.201016
loss= 0.215116
loss= 0.15964
loss= 0.189731
loss= 0.171792
loss= 0.166475
loss= 0.150458
loss= 0.17238
loss= 0.290979
epoch= 11
loss= 0.166633
loss= 0.181628
loss= 0.147405
loss= 0.147936
loss= 0.156864
loss= 0.142693
loss= 0.150313
loss= 0.142955
loss= 0.165175
loss= 0.109822
epoch= 12
loss= 0.144467
loss= 0.159312
loss= 0.136639
loss= 0.134252
loss= 0.135644
loss= 0.146641
loss= 0.136822
loss= 0.157479
loss= 0.134105
loss= 0.186788
epoch= 13
loss= 0.124313
loss= 0.160218
loss= 0.131529
loss= 0.145543
loss= 0.142991
loss= 0.139908
loss= 0.119187
loss= 0.123717
loss= 0.125529
loss= 0.0271919
epoch= 14
loss= 0.132493
loss= 0.149626
loss= 0.124438
loss= 0.10991
loss= 0.122357
loss= 0.124091
loss= 0.12386
loss= 0.120085
loss= 0.138064
loss= 0.130104
epoch= 15
loss= 0.129008
loss= 0.133132
loss= 0.112398
loss= 0.128307
loss= 0.131058
loss= 0.127686
loss= 0.112492
loss= 0.118002
loss= 0.154492
loss= 0.077358
epoch= 16
loss= 0.123694
loss= 0.111264
loss= 0.127178
loss= 0.120222
loss= 0.112227
loss= 0.11412
loss= 0.110081
loss= 0.102396
loss= 0.110312
loss= 0.0647335
epoch= 17
loss= 0.114348
loss= 0.111698
loss= 0.105011
loss= 0.103756
loss= 0.0950507
loss= 0.134004
loss= 0.0977193
loss= 0.0947287
loss= 0.0996122
loss= 0.14123
epoch= 18
loss= 0.15808
loss= 0.112646
loss= 0.140456
loss= 0.118937
loss= 0.103436
loss= 0.114537
loss= 0.115868
loss= 0.103328
loss= 0.114968
loss= 0.343081
epoch= 19
loss= 0.147028
loss= 0.215432
loss= 0.19666
loss= 0.169151
loss= 0.15392
loss= 0.143407
loss= 0.139317
loss= 0.152661
loss= 0.141209
loss= 0.159055
epoch= 20
loss= 0.115921
loss= 0.137798
loss= 0.129514
loss= 0.117805
loss= 0.114221
loss= 0.121897
loss= 0.128655
loss= 0.119642
loss= 0.102867
loss= 0.0315717
Training Finished. Saving test images to: ./runs/1510975162.2286367
